Dates,x_close,y_close
2016-07-03,122.09,123.34
2016-07-03,122.08,123.35
2016-07-03,122.05,123.29
2016-07-03,122.09,123.33
2016-07-03,122.02,123.3
2016-07-03,122,123.3
2016-07-03,122.05,123.3
2016-07-03,122,123.31
2016-07-03,122.01,123.3
2016-07-03,122.03,123.27
2016-07-03,122,123.25
2016-07-03,121.94,123.26
2016-07-03,121.91,123.23
2016-07-03,121.87,123.21
2016-07-03,121.92,123.19
2016-07-03,121.94,123.18
2016-07-03,121.94,123.18
2016-07-03,121.96,123.17
2016-07-03,121.89,123.16
2016-07-03,121.88,123.17
2016-07-03,121.86,123.13
2016-07-03,121.92,123.14
2016-07-03,121.87,123.13
2016-07-03,121.82,123.11
2016-07-03,121.79,123.07
2016-07-03,121.74,123.04
2016-07-03,121.74,123.03
2016-07-03,121.69,122.97
2016-07-03,121.62,122.93
2016-07-03,121.65,122.88
2016-07-03,121.71,122.85
2016-07-03,121.7,122.87
2016-07-03,121.69,122.87
2016-07-03,121.65,122.86
2016-07-03,121.56,122.88
2016-07-03,121.62,122.86
2016-07-03,121.55,122.89
2016-07-03,121.5,122.85
2016-07-03,121.46,122.83
2016-07-03,121.55,122.77
2016-07-03,121.42,122.72
2016-07-03,121.36,122.6
2016-07-03,121.16,122.54
2016-07-03,121.09,122.42
2016-07-03,121.12,122.34
2016-07-03,121.25,122.33
2016-07-03,121.25,122.34
2016-07-03,121.33,122.46
2016-07-03,121.26,122.5
2016-07-03,121.25,122.52
2016-07-03,121.25,122.55
2016-07-03,121.19,122.57
2016-07-03,121.18,122.55
2016-07-03,121.16,122.54
2016-07-03,121.18,122.52
2016-07-03,121.11,122.51
2016-07-03,120.91,122.42
2016-07-03,120.96,122.38
2016-07-03,120.9,122.35
2016-07-03,120.91,122.33
2016-07-03,120.96,122.31
2016-07-03,120.91,122.3
2016-07-03,120.93,122.27
2016-07-03,120.84,122.27
2016-07-04,120.96,122.46
2016-07-04,121.04,122.5
2016-07-04,121.08,122.49
2016-07-04,121.12,122.53
2016-07-04,121.12,122.6
2016-07-04,121.16,122.64
2016-07-04,121.26,122.69
2016-07-04,121.25,122.68
2016-07-04,121.16,122.73
2016-07-04,121.18,122.66
2016-07-04,121.17,122.56
2016-07-04,121.21,122.61
2016-07-04,121.21,122.57
2016-07-04,121.19,122.59
2016-07-04,121.19,122.57
2016-07-04,121.21,122.62
2016-07-04,121.11,122.6
2016-07-04,121.07,122.5
2016-07-04,121.07,122.41
2016-07-04,121.15,122.33
2016-07-04,121.21,122.35
2016-07-04,121.25,122.4
2016-07-04,121.24,122.45
2016-07-04,121.21,122.48
2016-07-04,121.11,122.49
2016-07-04,121.21,122.5
2016-07-04,121.18,122.54
2016-07-04,121.19,122.55
2016-07-04,121.18,122.57
2016-07-04,121.22,122.56
2016-07-04,121.12,122.5
2016-07-04,121.19,122.47
2016-07-04,121.2,122.51
2016-07-04,121.26,122.48
2016-07-04,121.32,122.48
2016-07-04,121.33,122.48
2016-07-04,121.33,122.51
2016-07-04,121.34,122.57
2016-07-04,121.37,122.61
2016-07-04,121.3,122.59
2016-07-04,121.25,122.58
2016-07-04,121.3,122.61
2016-07-04,121.29,122.63
2016-07-04,121.34,122.65
2016-07-04,121.29,122.64
2016-07-04,121.31,122.61
2016-07-04,121.22,122.54
2016-07-04,121.15,122.51
2016-07-04,121.16,122.53
2016-07-04,121.24,122.55
2016-07-04,121.2,122.53
2016-07-04,121.12,122.54
2016-07-04,121.06,122.49
2016-07-04,121.04,122.43
2016-07-04,121.17,122.43
2016-07-04,121.21,122.46
2016-07-04,121.21,122.47
2016-07-04,121.16,122.48
2016-07-04,121.16,122.46
2016-07-04,121.14,122.45
2016-07-04,121.16,122.43
2016-07-04,121.27,122.47
2016-07-04,121.34,122.47
2016-07-04,121.43,122.5
2016-07-04,121.59,122.61
2016-07-04,121.62,122.67
2016-07-04,121.63,122.74
2016-07-04,121.61,122.75
2016-07-04,121.61,122.81
2016-07-04,121.64,122.81
2016-07-04,121.58,122.82
2016-07-04,121.62,122.82
2016-07-04,121.61,122.81
2016-07-04,121.56,122.85
2016-07-04,121.59,122.83
2016-07-04,121.65,122.86
2016-07-04,121.69,122.91
2016-07-04,121.74,122.95
2016-07-04,121.71,122.98
2016-07-04,121.69,122.97
2016-07-04,121.72,122.98
2016-07-04,121.71,123.01
2016-07-04,121.59,122.94
2016-07-04,121.59,122.9
2016-07-04,121.56,122.88
2016-07-04,121.76,122.94
2016-07-04,121.92,123.09
2016-07-04,121.97,123.21
2016-07-04,121.97,123.24
2016-07-04,121.97,123.23
2016-07-04,121.92,123.26
2016-07-04,122.12,123.31
2016-07-04,122.16,123.3
2016-07-04,122.09,123.2
2016-07-04,122.19,123.18
2016-07-04,122.19,123.18
2016-07-04,122.19,123.22
2016-07-04,122.28,123.18
2016-07-04,122.18,123.2
2016-07-04,122.09,123.16
2016-07-04,122.12,123.15
2016-07-04,122.09,123.08
2016-07-04,122.08,123.05
2016-07-04,122.09,123.03
2016-07-04,122.12,123.05
2016-07-04,122.07,123.05
2016-07-04,122.02,123.03
2016-07-04,122.02,123.03
2016-07-04,122.11,123.04
2016-07-04,122.14,123.08
2016-07-04,122.04,123.07
2016-07-04,122.17,123.07
2016-07-04,122.1,123.06
2016-07-04,122.04,123.03
2016-07-04,122.09,123.01
2016-07-04,122.07,122.98
2016-07-04,122.03,122.96
2016-07-04,121.96,122.93
2016-07-04,122.02,122.91
2016-07-04,122.08,122.94
2016-07-04,122.04,122.92
2016-07-04,122.01,122.94
2016-07-04,122.01,122.93
2016-07-04,122,122.9
2016-07-04,121.98,122.9
2016-07-04,121.96,122.88
2016-07-04,121.97,122.87
2016-07-04,121.99,122.88
2016-07-04,122.07,122.91
2016-07-04,122.11,122.97
2016-07-04,122.11,122.98
2016-07-04,122.11,122.99
2016-07-04,122.1,122.98
2016-07-04,122.03,122.95
2016-07-04,121.91,122.92
2016-07-04,121.92,122.87
2016-07-04,122.03,122.87
2016-07-04,121.99,122.86
2016-07-04,121.98,122.82
2016-07-04,121.89,122.84
2016-07-04,121.98,122.81
2016-07-04,121.99,122.79
2016-07-04,122,122.8
2016-07-04,122,122.83
2016-07-04,122,122.83
2016-07-04,122.01,122.84
2016-07-04,122.06,122.85
2016-07-04,122.07,122.84
2016-07-04,121.96,122.85
2016-07-04,122,122.82
2016-07-04,122.04,122.82
2016-07-04,122.01,122.83
2016-07-04,121.91,122.78
2016-07-04,121.85,122.75
2016-07-04,121.9,122.72
2016-07-04,121.88,122.69
2016-07-04,121.86,122.68
2016-07-04,121.83,122.65
2016-07-04,121.81,122.6
2016-07-04,121.74,122.54
2016-07-04,121.72,122.53
2016-07-04,121.68,122.5
2016-07-04,121.71,122.53
2016-07-04,121.71,122.53
2016-07-04,121.69,122.52
2016-07-04,121.66,122.52
2016-07-04,121.61,122.49
2016-07-04,121.5,122.47
2016-07-04,121.49,122.43
2016-07-04,121.46,122.4
2016-07-04,121.39,122.39
2016-07-04,121.56,122.37
2016-07-04,121.55,122.39
2016-07-04,121.48,122.4
2016-07-04,121.44,122.4
2016-07-04,121.33,122.41
2016-07-04,121.42,122.41
2016-07-04,121.33,122.41
2016-07-04,121.39,122.43
2016-07-04,121.61,122.44
2016-07-04,121.56,122.47
2016-07-04,121.62,122.51
2016-07-04,121.62,122.53
2016-07-04,121.64,122.55
2016-07-04,121.64,122.57
2016-07-04,121.64,122.58
2016-07-04,121.62,122.57
2016-07-04,121.62,122.56
2016-07-04,121.59,122.53
2016-07-04,121.61,122.53
2016-07-04,121.66,122.53
2016-07-04,121.66,122.75
2016-07-04,121.68,122.72
2016-07-04,121.68,122.69
2016-07-04,121.68,122.68
2016-07-04,121.68,122.7
2016-07-04,121.68,122.66
2016-07-04,121.72,122.67
2016-07-04,121.56,122.68
2016-07-04,121.52,122.65
2016-07-04,121.53,122.61
